segment_start_min,segment_end_min,compound,role,precursor_mz,product_mz,ce_ev,dwell_ms,source
3.0,4.0,DMS,quan,62.0,47.0,10.0,203.33,Razaq 2023; Cucchiella 2024
3.0,4.0,DMS,qual,62.0,45.0,15.0,203.33,Cucchiella 2024
6.5,7.0,ethyl-butanoate,quan,88.0,60.0,10.0,203.33,NIST
6.5,7.0,ethyl-butanoate,qual,88.0,71.0,10.0,203.33,NIST
7.0,7.5,ethyl-butanoate,quan,88.0,60.0,10.0,99.17,NIST
7.0,7.5,ethyl-butanoate,qual,88.0,71.0,10.0,99.17,NIST
7.0,7.5,DMDS,quan,94.0,79.0,10.0,99.17,Cucchiella 2024
7.0,7.5,DMDS,qual,94.0,45.0,15.0,99.17,Cucchiella 2024
7.5,8.0,DMDS,quan,94.0,79.0,10.0,203.33,Cucchiella 2024
7.5,8.0,DMDS,qual,94.0,45.0,15.0,203.33,Cucchiella 2024
8.5,9.5,isoamyl-acetate,quan,70.0,43.0,10.0,203.33,NIST + Hjelmeland
8.5,9.5,isoamyl-acetate,qual,87.0,43.0,5.0,203.33,NIST
10.8,11.8,guaiacol,quan,124.0,109.0,15.0,203.33,Agilent 5994-3161EN; PMC7407152
10.8,11.8,guaiacol,qual,124.0,81.0,20.0,203.33,Agilent; PMC7407152
11.8,12.0,4-methylguaiacol,quan,138.0,123.0,15.0,203.33,Agilent; PMC7407152
11.8,12.0,4-methylguaiacol,qual,138.0,95.0,20.0,203.33,Agilent; PMC7407152
12.0,12.2,4-methylguaiacol,quan,138.0,123.0,15.0,64.44,Agilent; PMC7407152
12.0,12.2,4-methylguaiacol,qual,138.0,95.0,20.0,64.44,Agilent; PMC7407152
12.0,12.2,ethyl-hexanoate,quan,144.0,88.0,10.0,64.44,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
12.0,12.2,ethyl-hexanoate,qual,144.0,99.0,15.0,64.44,NIST alkyl-acylium [C5H11CO]+ from M+. loss of OEt
12.0,12.2,hexyl-acetate,quan,84.0,43.0,10.0,64.44,NIST; Lukić 2019
12.0,12.2,hexyl-acetate,qual,84.0,56.0,10.0,64.44,NIST
12.2,12.6,4-methylguaiacol,quan,138.0,123.0,15.0,47.08,Agilent; PMC7407152
12.2,12.6,4-methylguaiacol,qual,138.0,95.0,20.0,47.08,Agilent; PMC7407152
12.2,12.6,p-cresol,quan,108.0,107.0,15.0,47.08,PMC7407152
12.2,12.6,p-cresol,qual,108.0,77.0,25.0,47.08,PMC7407152
12.2,12.6,ethyl-hexanoate,quan,144.0,88.0,10.0,47.08,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
12.2,12.6,ethyl-hexanoate,qual,144.0,99.0,15.0,47.08,NIST alkyl-acylium [C5H11CO]+ from M+. loss of OEt
12.2,12.6,hexyl-acetate,quan,84.0,43.0,10.0,47.08,NIST; Lukić 2019
12.2,12.6,hexyl-acetate,qual,84.0,56.0,10.0,47.08,NIST
12.6,12.8,4-methylguaiacol,quan,138.0,123.0,15.0,36.67,Agilent; PMC7407152
12.6,12.8,4-methylguaiacol,qual,138.0,95.0,20.0,36.67,Agilent; PMC7407152
12.6,12.8,4-ethylguaiacol,quan,152.0,137.0,15.0,36.67,Agilent; PMC7407152
12.6,12.8,4-ethylguaiacol,qual,152.0,122.0,20.0,36.67,Agilent; PMC7407152
12.6,12.8,p-cresol,quan,108.0,107.0,15.0,36.67,PMC7407152
12.6,12.8,p-cresol,qual,108.0,77.0,25.0,36.67,PMC7407152
12.6,12.8,ethyl-hexanoate,quan,144.0,88.0,10.0,36.67,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
12.6,12.8,ethyl-hexanoate,qual,144.0,99.0,15.0,36.67,NIST alkyl-acylium [C5H11CO]+ from M+. loss of OEt
12.6,12.8,hexyl-acetate,quan,84.0,43.0,10.0,36.67,NIST; Lukić 2019
12.6,12.8,hexyl-acetate,qual,84.0,56.0,10.0,36.67,NIST
12.8,13.0,4-ethylguaiacol,quan,152.0,137.0,15.0,47.08,Agilent; PMC7407152
12.8,13.0,4-ethylguaiacol,qual,152.0,122.0,20.0,47.08,Agilent; PMC7407152
12.8,13.0,p-cresol,quan,108.0,107.0,15.0,47.08,PMC7407152
12.8,13.0,p-cresol,qual,108.0,77.0,25.0,47.08,PMC7407152
12.8,13.0,ethyl-hexanoate,quan,144.0,88.0,10.0,47.08,NIST 70eV EI + ester McLafferty (M+. -> m/z 88)
12.8,13.0,ethyl-hexanoate,qual,144.0,99.0,15.0,47.08,NIST alkyl-acylium [C5H11CO]+ from M+. loss of OEt
12.8,13.0,hexyl-acetate,quan,84.0,43.0,10.0,47.08,NIST; Lukić 2019
12.8,13.0,hexyl-acetate,qual,84.0,56.0,10.0,47.08,NIST
13.0,13.2,4-ethylguaiacol,quan,152.0,137.0,15.0,99.17,Agilent; PMC7407152
13.0,13.2,4-ethylguaiacol,qual,152.0,122.0,20.0,99.17,Agilent; PMC7407152
13.0,13.2,p-cresol,quan,108.0,107.0,15.0,99.17,PMC7407152
13.0,13.2,p-cresol,qual,108.0,77.0,25.0,99.17,PMC7407152
13.2,13.6,4-ethylguaiacol,quan,152.0,137.0,15.0,203.33,Agilent; PMC7407152
13.2,13.6,4-ethylguaiacol,qual,152.0,122.0,20.0,203.33,Agilent; PMC7407152
13.9,14.5,4-ethylphenol,quan,122.0,107.0,15.0,203.33,Agilent; PMC7407152
13.9,14.5,4-ethylphenol,qual,122.0,77.0,25.0,203.33,Agilent; PMC7407152
14.5,14.8,4-ethylphenol,quan,122.0,107.0,15.0,99.17,Agilent; PMC7407152
14.5,14.8,4-ethylphenol,qual,122.0,77.0,25.0,99.17,Agilent; PMC7407152
14.5,14.8,3MH,quan,134.0,100.0,5.0,99.17,Mateo-Vivaracho 2008/2010
14.5,14.8,3MH,qual,134.0,67.0,10.0,99.17,Mateo-Vivaracho
14.8,14.9,4-ethylphenol,quan,122.0,107.0,15.0,64.44,Agilent; PMC7407152
14.8,14.9,4-ethylphenol,qual,122.0,77.0,25.0,64.44,Agilent; PMC7407152
14.8,14.9,syringol,quan,154.0,139.0,15.0,64.44,Agilent; PMC7407152
14.8,14.9,syringol,qual,154.0,124.0,20.0,64.44,Agilent; PMC7407152
14.8,14.9,3MH,quan,134.0,100.0,5.0,64.44,Mateo-Vivaracho 2008/2010
14.8,14.9,3MH,qual,134.0,67.0,10.0,64.44,Mateo-Vivaracho
